Produto,Preco
Cerveja Amstel Lata 473ml,"  Valor a vista:  R$ 4,19"
Cerveja Amstel Ultra Lata 269ml,"  Valor a vista:  R$ 3,59"
Cerveja Antarctica Original Garrafa Descartável 600ml,"  Valor a vista:  R$ 7,98"
Cerveja Antarctica Pilsen Lata 350ml,"  Valor a vista:  R$ 2,99"
Cerveja Antarctica Subzero Lata 350ml,"  Valor a vista:  R$ 2,69"
Cerveja Argentina Amber Lager Patagonia Lata 473ml,"  Valor a vista:  R$ 6,78"
Cerveja Baly Lata 350ml,"  Valor a vista:  R$ 2,78"
Cerveja Becks Lata 350ml,"  Valor a vista:  R$ 4,99"
Cerveja Bierland Blumenau Lata 350ml,"  Valor a vista:  R$ 2,88"
Cerveja Bierland Fruit Beer Uva Lata 350ml,"  Valor a vista:  R$ 4,09"
Cerveja Bierland Session Ipa Lata 350ml,"  Valor a vista:  R$ 3,59"
Cerveja Bierland Witbier Lata 350ml,"  Valor a vista:  R$ 5,35"
Cerveja Bodebrown Ipa Cacau Lata 473ml,"  Valor a vista:  R$ 16,48"
Cerveja Bodebrown Perigosa Ipa Lata 473ml,"  Valor a vista:  R$ 16,98"
Cerveja Bohemia Lata 473ml,"  Valor a vista:  R$ 4,45"
Cerveja Brahma Duplo Malte Lata  350ml,"  Valor a vista:  R$ 3,59"
Cerveja Brahma Extra Lager Lata 350ml,"  Valor a vista:  R$ 3,18"
Cerveja Brahma Lata 269ml,"  Valor a vista:  R$ 2,48"
Cerveja Brahma Lata 350ml,"  Valor a vista:  R$ 3,18"
Cerveja Brahma Malzbier Lata 350ml,"  Valor a vista:  R$ 4,18"
Cerveja Budweiser Lata 350ml,"  Valor a vista:  R$ 3,79"
Cerveja Colorado Lager Lata 350ml,"  Valor a vista:  R$ 6,28"
Cerveja Coruja Lager 350ml Lata,"  Valor a vista:  R$ 3,89"
Cerveja Dado Bier Leve 25 Anos Lata 350ml,"  Valor a vista:  R$ 2,48"
Cerveja Devassa Puro Malte Lata (Latão) 473ml,"  Valor a vista:  R$ 4,19"
Cerveja Devassa Puro Malte Lata 350ml,"  Valor a vista:  R$ 2,99"
Cerveja Eisenbahn Ipa Lata 350ml,"  Valor a vista:  R$ 4,79"
Cerveja Eisenbahn Pale Ale Lata 350ml,"  Valor a vista:  R$ 4,79"
Cerveja Heineken Lata 350ml,"  Valor a vista:  R$ 4,79"
Cerveja Heineken Zero Alcool Lata 350ml,"  Valor a vista:  R$ 4,79"
Cerveja Hobgoblin Ruby Lata 500ml,"  Valor a vista:  R$ 15,78"
Cerveja Hoegaarden Witbier Lata 269ml,"  Valor a vista:  R$ 4,99"
Cerveja Itaipava Lata 350ml,"  Valor a vista:  R$ 2,75"
Cerveja Itaipava Malzbier Lata 350ml,"  Valor a vista:  R$ 4,19"
Cerveja Itaipava Zero Álcool Lata 350ml,"  Valor a vista:  R$ 3,68"
Cerveja Kaiser Lata 350ml,"  Valor a vista:  R$ 2,49"
Cerveja Original Lata 350ml,"  Valor a vista:  R$ 3,78"
Cerveja Patagonia Ipa Lata 473ml,"  Valor a vista:  R$ 6,78"
Cerveja Patagônia Pilsener Lata 473ml,"  Valor a vista:  R$ 6,78"
Cerveja Patagônia Weisse Lata 473ml,"  Valor a vista:  R$ 6,78"
Cerveja Petra Puro Malte Lata 350ml,"  Valor a vista:  R$ 3,19"
Cerveja Roleta Russa Imperial Ipa Lata 350ml,"  Valor a vista:  R$ 8,18"
Cerveja Roleta Russa New England Lata 350ml,"  Valor a vista:  R$ 7,95"
Cerveja Schin Lata 350ml,"  Valor a vista:  R$ 2,49"
Cerveja Schornstein Session Ipa Lata 473ml,"  Valor a vista:  R$ 13,78"
Cerveja Senses Skol Beats Lata 269ml,"  Valor a vista:  R$ 6,28"
Cerveja Serramalte Lata 350ml,"  Valor a vista:  R$ 3,79"
Cerveja Skol Pilsen Pack Com 12 Unidades Lata 350ml,"  Valor a vista:  R$ 2,99"
Cerveja Spaten Puro Malte Lata 350ml,"  Valor a vista:  R$ 3,99"
Cerveja Stella Lata 350ml,"  Valor a vista:  R$ 4,29"
Cerveja Sub Zero Lata 269ml,"  Valor a vista:  R$ 2,39"
